log_file	tool_version_line	command
outputs/denovo_master/Ne_temporal/10_10/sim2/populations.log	populations v2.60, executed 2022-07-11 16:13:03 (zlib-1.2.11	populations -P . -M ../../data/popmaps/Ne_raffonei_temporal_sim2 -r 0.5 --write-single-snp -O ./Ne_temporal/10_10/sim2/ --genepop
outputs/denovo_master/Ne_temporal/10_10/sim3/populations.log	populations v2.60, executed 2022-07-11 16:14:52 (zlib-1.2.11	populations -P . -M ../../data/popmaps/Ne_raffonei_temporal_sim3 -r 0.5 --write-single-snp -O ./Ne_temporal/10_10/sim3/ --genepop
outputs/denovo_master/Ne_temporal/10_10/sim4/populations.log	populations v2.60, executed 2022-07-11 16:17:19 (zlib-1.2.11	populations -P . -M ../../data/popmaps/Ne_raffonei_temporal_sim4 -r 0.5 --write-single-snp -O ./Ne_temporal/10_10/sim4/ --genepop
outputs/denovo_master/Ne_temporal/10_10/sim5/populations.log	populations v2.60, executed 2022-07-11 16:20:15 (zlib-1.2.11	populations -P . -M ../../data/popmaps/Ne_raffonei_temporal_sim5 -r 0.5 --write-single-snp -O ./Ne_temporal/10_10/sim5/ --genepop
outputs/denovo_master/Ne_temporal/10_10/sim6/populations.log	populations v2.60, executed 2022-07-11 16:22:46 (zlib-1.2.11	populations -P . -M ../../data/popmaps/Ne_raffonei_temporal_sim6 -r 0.5 --write-single-snp -O ./Ne_temporal/10_10/sim6/ --genepop
outputs/denovo_master/Ne_temporal/populations.log	populations v2.60, executed 2022-07-11 16:39:09 (zlib-1.2.11	populations -P . -M ../../data/popmaps/Ne_raffonei_2015_2017 -r 0.5 --write-single-snp -O ./Ne_temporal/ --genepop
outputs/denovo_master/NewHybrid/all_samples/populations.log	populations v2.60, executed 2022-05-03 13:12:24 (zlib-1.2.11	populations -P . -M /home/dsalvi/LIZARD/raffonei_siculus/analysis/data/popmaps/all_samples_group -r 0.75 -p 3 --write-single-snp --min-mac 2 -O ./NewHybrid/ -t 8 --genepop --vcf --plink
outputs/denovo_master/NewHybrid/all_samples_top_50/populations.log	populations v2.60, executed 2022-05-05 16:56:55 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_all_samples -W ./NewHybrid/top50_whitelist.tsv --genepop -O ./NewHybrid/all_samples_top_50/ -t 8
outputs/denovo_master/NewHybrid_v2/all_samples/populations.log	populations v2.60, executed 2022-05-11 15:52:37 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_pure_samples --write-single-snp -O ./NewHybrid_v2/ --genepop -W ./NewHybrid_v2/unknown_nomissing/Whitelist.tsv -r 0.8
outputs/denovo_master/NewHybrid_v2/unknown_nomissing/populations.log	populations v2.60, executed 2022-05-11 15:40:14 (zlib-1.2.11	populations -P . -M ../../data/popmaps/NewHybrids_unknown_samples -r 1 --write-single-snp -O ./NewHybrid_v2/ --genepop
